sample_idx,bs_precision,bs_recall,bs_f1
190,0.8069,0.6753,0.7397
191,0.3847,0.2696,0.3275
192,0.7317,0.1193,0.3655
193,0.4008,0.3347,0.3696
194,0.6027,0.3947,0.4938
195,-0.1492,0.3672,0.0562
196,0.3767,0.6157,0.4891
197,0.6338,0.4719,0.5507
198,0.5227,0.4883,0.5073
199,0.4894,0.5750,0.5330
